Author(S),Original Language,Approximate Sales,First Published,Book Title
Tomás Eloy Martínez,Spanish,10000000,1995,Santa Evita
Elie Wiesel,Yiddish,10000000,1958,Night (Un di Velt Hot Geshvign)
Yu Dan,Chinese,10000000,2006,Confucius from the Heart (于丹《论语》心得)
Marabel Morgan,English,10000000,1974,The Total Woman
Taichi Sakaiya,Japanese,10000000,1985,Knowledge-value Revolution (知価革命)
Xue Muqiao,Chinese,10000000,1979,Problems in China's Socialist Economy (中国社会主义经济问题研究)
Richard Nelson Bolles,English,10000000,1970,What Color Is Your Parachute?
Pierre Dukan,French,10000000,2000,The Dukan Diet
Alex Comfort,English,10000000,1972,The Joy of Sex
Robert L. Short,English,10000000,1965,The Gospel According to Peanuts
Yann Martel,English,10000000,2001,Life of Pi
Patricia Nell Warren,English,10000000,1974,The Front Runner
Eliyahu M. Goldratt,English,10000000,1984,The Goal
Ray Bradbury,English,10000000,1953,Fahrenheit 451
Frank McCourt,English,10000000,1996,Angela's Ashes
Mohandas Karamchand Gandhi,Gujarati,10000000,1925,The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા)
Helen Fielding,English,10000000,1996,Bridget Jones's Diary
Colleen Hoover,English,10000000,2016,It Ends with Us
J. K. Rowling,English,600000000,1997,Harry Potter
R. L. Stine,English,400000000,1992,Goosebumps
Erle Stanley Gardner,English,300000000,1933,Perry Mason
Jeff Kinney,English,300000000,2004,Diary of a Wimpy Kid
Stan and Jan Berenstain,English,260000000,1962,Berenstain Bears
Various authors,English,250000000,1979,Choose Your Own Adventure
Francine Pascal and ghostwriters,English,250000000,1983,Sweet Valley High
"Enid Blyton, various other authors",English,250000000,1949,Noddy
Lee Child,English,200000000,1997,Jack Reacher
"Wilbert Awdry, Christopher Awdry, various other authors",English,200000000,1945,The Railway Series and Thomas & Friends
Various authors as Carolyn Keene,English,200000000,1930,Nancy Drew
Frédéric Dard,French,200000000,1949,San-Antonio
Dan Brown,English,200000000,2000,Robert Langdon
Elisabetta Dami,Italian,180000000,1997,Geronimo Stilton
Rick Riordan,English,180000000,2005,Percy Jackson & the Olympians
Ann Martin,English,172000000,1986,The Baby-sitters Club
Various authors,English,160000000,1986,American Girl
Stephenie Meyer,English,160000000,2005,Twilight
Various authors,English,160000000,1977,Star Wars
Mercer Mayer,English,150000000,1975,Little Critter
Beatrix Potter,English,150000000,1902,Peter Rabbit
E. L. James,English,150000000,2011,Fifty Shades
"Jack Canfield, Mark Victor Hansen",English,130000000,1997,Chicken Soup for the Soul
Norman Bridwell,English,129000000,1963,Clifford the Big Red Dog
Gilbert Patten,English,125000000,1896,Frank Merriwell
Clive Cussler,English,120000000,1973,Dirk Pitt
Eiji Yoshikawa,Japanese,120000000,1935,宮本武蔵 (Musashi)
C. S. Lewis,English,120000000,1950,The Chronicles of Narnia
"Roger Hargreaves, Adam Hargreaves",English,120000000,1971,Mr. Men
Gérard de Villiers,French,120000000,1965,SAS
Suzanne Collins,English,100000000,2008,The Hunger Games
Ian Fleming,English,100000000,1953,James Bond
"Gilbert Delahaye, Marcel Marlier",French,100000000,1954,Martine
"Stieg Larsson, David Lagercrantz",Swedish,100000000,2005,Millennium
George R. R. Martin,English,90000000,1996,A Song of Ice and Fire
"Robert Jordan, Brandon Sanderson",English,90000000,1990,The Wheel of Time
Terry Pratchett,English,90000000,1983,Discworld
Dick Bruna,Dutch,85000000,1955,Nijntje (Miffy)
James Patterson,English,81000000,1993,Alex Cross
Takashi Yanase,Japanese,80000000,1973,Anpanman (アンパンマン)
Dav Pilkey,English,80000000,1997,Captain Underpants
R. L. Stine,English,80000000,1989,Fear Street
Astrid Lindgren,Swedish,80000000,1945,Pippi Långstrump (Pippi Longstocking)
Anne Rice,English,80000000,1976,The Vampire Chronicles
Jean Bruce,French,75000000,1949,OSS 117
A. A. Milne,English,70000000,1926,Winnie-the-Pooh
Mary Pope Osborne,English,70000000,1992,Magic Tree House series
"Tim LaHaye, Jerry B. Jenkins",English,65000000,1996,Left Behind
Lemony Snicket aka Daniel Handler,English,65000000,1999,A Series of Unfortunate Events
Marc Brown,English,65000000,1976,Arthur
Laura Ingalls Wilder,English,60000000,1932,Little House on the Prairie
"Alf Wight, as James Herriot",English,60000000,1970,All Creatures Great and Small
Joanna Cole,English,58000000,1986,The Magic School Bus
Martin Handford,English,55000000,1987,Where's Wally?[253]
John Gray,English,50000000,1992,"Men Are from Mars, Women Are from Venus"
Various authors as Franklin W. Dixon,English,50000000,1927,The Hardy Boys
Various authors as Laura Lee Hope,English,50000000,1904,The Bobbsey Twins
Edgar Rice Burroughs,English,50000000,1914,Tarzan
Cassandra Clare,English,50000000,2007,The Shadowhunter Chronicles
Jean M. Auel,English,45000000,1980,Earth's Children
Various authors,English,45000000,1980,A Child's First Library of Learning
Barbara Park,English,44000000,1992,Junie B. Jones
Michael Connelly,English,42000000,1992,Harry Bosch
Jo Nesbø,Norwegian,40000000,1997,Harry Hole
Erin Hunter,English,40000000,2003,Warriors
original author: Liu Zhixia [zh],Chinese,36520000,1955,连环画 铁道游击队 (Picture-and-story book Railway Guerilla)
Yutaka Hara,Japanese,35000000,1987,かいけつゾロリ (Kaiketsu Zorori)
Michael Bond,English,35000000,1958,Paddington Bear
K A Applegate and ghostwriters,English,35000000,1996,Animorphs
Veronica Roth,English,35000000,2011,Divergent trilogy
Sachiko Kiyono,Japanese,33600000,1976,ノンタン (Nontan)
"Kaoru Kurimoto, Yu Godai",Japanese,33000000,1979,グイン・サーガ (Guin Saga)
Christopher Paolini,English,33000000,2002,The Inheritance Cycle
"Robert Kiyosaki, Sharon Lechter",English,32000000,1997,"Rich Dad, Poor Dad"
Kazuma Kamachi,Japanese,30000000,2004,とある魔術の禁書目録 (Toaru Majutsu no Index)
Sōhachi Yamaoka,Japanese,30000000,1950,徳川家康 [ja] (Tokugawa Ieyasu)
Beverly Cleary,English,30000000,1955,Ramona
Stephen King,English,30000000,1982,The Dark Tower
Rachel Renée Russell,English,55000000,2009,Dork Diaries
"Warren Murphy and Richard Sapir, various authors",English,30000000,1971,The Destroyer
Christian Jacq,French,35000000,1997,The Ramses Saga
Liu Cixin,Chinese,29000000,2008,地球往事 (Remembrance of Earth's Past)
Jirō Akagawa,Japanese,28000000,1978,三毛猫ホームズシリーズ [ja] (Calico Cat Holmes series)
Hans Augusto Rey and Margret Rey,English,27000000,1941,Curious George
Terry Brooks,English,26000000,1977,Shannara
Henning Mankell,Swedish,25000000,1991,Kurt Wallander
Margit Sandemo,Swedish,25000000,1982,Sagan om Isfolket (The Legend of the Ice People)
Terry Goodkind,English,25000000,1998,The Sword of Truth
Diana Gabaldon,English,25000000,1991,Outlander
Masamoto Nasu,Japanese,25000000,1978,ズッコケ三人組 [ja] (Zukkoke Sanningumi)
Shōtarō Ikenami,Japanese,24400000,1968,鬼平犯科帳 (Onihei Hankachō)
Various authors,English,23700000,1992,Brain Quest
Arthur Agatston,English,22000000,2003,South Beach Diet
Philip Pullman,English,22000000,1995,His Dark Materials
Reki Kawahara,Japanese,30000000,2009,ソードアート・オンライン (Sword Art Online)
Ryōtarō Shiba,Japanese,21500000,1963,竜馬がゆく [ja] (Ryoma ga Yuku)
Eoin Colfer,English,21000000,2001,Artemis Fowl
Brandon Sanderson,English,21000000,2005,The Cosmere
Frank Herbert,English,20000000,1965,Dune series
Lauren Tarshis,English,20000000,2010,I Survived
Various authors,French,20000000,1986,Découvertes Gallimard
Brian Jacques,English,20000000,1986,Redwall
Lucy Cousins,English,20000000,1990,Maisy
Various authors,English,20000000,1984,Dragonlance
Kazumasa Hirai,Japanese,20000000,1979,幻魔大戦 (Genma Taisen)
Hiroyuki Itsuki,Japanese,20000000,1970,青春の門 (The Gate of Youth)
Hajime Kanzaka,Japanese,20000000,1989,スレイヤーズ (Slayers)
Isaac Asimov,English,20000000,1950,The Foundation Trilogy
Terry Deary,English,20000000,1993,Horrible Histories
